19344098,P,320529112,201912,12/17/2021,NEW VILLAGERS CLUB OF TELLICO VILLAGE,990EO,, 
19304257,P,208001310,202012,12/13/2021,CALIFORNIA UNIFED TAEKWONDO ASSOCIATION,990EZ,, 
19304306,P,455246211,201912,12/13/2021,OUT IN THE OPEN INC,990EZ,, 
19303456,P,561665738,201912,12/13/2021,ERWIN AREA CHAMBER OF COMMERCE,990EO,, 
19303928,P,376040991,202006,12/13/2021,ALTON SYMPHONY ORCHESTRA,990EZ,, 
19343836,P,900488281,201912,12/17/2021,BUSINESS WEST INC,990EO,, 
19343291,P,582651060,201712,12/17/2021,HOPE HARBOR INC,990,, 
19343260,P,352199553,201912,12/17/2021,NATIONAL ASSOCIATION OF SPECIALTY HEALTH ORGANIZATIONS,990O,, 
19303977,P,562537454,202006,12/13/2021,CRESCENDO INC,990EZ,, 
19303998,P,630417977,201912,12/13/2021,MOBILE TOUCHDOWN CLUB INC,990EZ,, 
19304447,P,366109433,202006,12/14/2021,CHICAGO ENGINEERS FOUNDATION OF THE UNION LEAGUE CLUB,990EZ,, 
19343927,P,810254378,201912,12/17/2021,BIG HORN LOW LINE DITCH COMPANY,990EO,, 
19304068,P,275489405,202006,12/13/2021,CASA SAN BERNARDO INC,990EZ,, 
19343449,P,752209761,201910,12/17/2021,HALL-DONLEY COUNTY FARM BUREAU,990EO,, 
19343946,P,416039805,201912,12/17/2021,ESTATE APARTMENTS INC,990EO,, 
19304087,P,943205304,201912,12/13/2021,NORTH WASCO COUNTY SCHOOL DISTRICT 21 EDUCATION FOUNDATION,990EZ,, 
19304116,P,237009871,201906,12/13/2021,WISCONSIN HIGH SCHOOL FORENSIC ASSOCIATION,990,, 
19343122,P,743007634,201912,12/17/2021,AGGIELAND CATHOLIC FOUNDATION INC,990,, 
19342998,P,271993728,201912,12/17/2021,LIGHT KEEPERS,990,, 
19303592,P,341254636,202005,12/13/2021,OHIO STATE ASSOCIATION IBPO OF E OF W,990EO,, 
19303603,P,942686241,202006,12/13/2021,SRV VETERANS OF FOREIGN WARS POST 75,990EO,, 
19303629,P,481139330,201912,12/13/2021,AMERICAN LEGION AUXILIARY UNIT 133,990EO,, 
